text,label,clean_text_cased,clean_text_lower,label_numeric
No financial information was provided .,neutral,No financial information was provided .,no financial information was provided .,0.0
EasyJet attracts more passengers in June but still lags Ryanair,positive,EasyJet attracts more passengers in June but still lags Ryanair,easyjet attracts more passengers in june but still lags ryanair,1.0
Morning Agenda: Shire's Deal for NPS,positive,Morning Agenda Shire's Deal for NPS,morning agenda shire's deal for nps,1.0
Metso will supply the equipment for two process lines at Northland Resources ' new Kaunisvaara iron ore project in Sweden which exploits Tapuli and Sahavaara iron ore deposits .,positive,Metso will supply the equipment for two process lines at Northland Resources ' new Kaunisvaara iron ore project in Sweden which exploits Tapuli and Sahavaara iron ore deposits .,metso will supply the equipment for two process lines at northland resources ' new kaunisvaara iron ore project in sweden which exploits tapuli and sahavaara iron ore deposits .,1.0
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe .,1.0
The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,neutral,The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,the company 's previous estimate was for a lower revenue than the year-ago eur 93.9 million .,0.0
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,negative,Earnings per share EPS dropped to EUR 0.21 from EUR 0.31 .,earnings per share eps dropped to eur 0.21 from eur 0.31 .,-1.0
"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .",neutral,"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .","bids or offers include at least 1,000 shares and the value of the shares must correspond to at least eur4 ,000 .",0.0
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,neutral,Earnings per share EPS amounted to a loss of to EUR0 .06 .,earnings per share eps amounted to a loss of to eur0 .06 .,0.0
NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,negative,NetApp downgraded by Macquarie to underperform. 22.00 PT. NTAP NTAP via RatingsNetwork,netapp downgraded by macquarie to underperform. 22.00 pt. ntap ntap via ratingsnetwork,-1.0
`` Russia is ready to participate in an open tender for Lattelecom 's privatization .,neutral,Russia is ready to participate in an open tender for Lattelecom 's privatization .,russia is ready to participate in an open tender for lattelecom 's privatization .,0.0
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",positive,"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .","technopolis and the st. petersburg government signed a cooperation memorandum in october 2005 to set up a techno-park in the neudorf production zone in the village of strelny , in the st. petersburg suburbs .",1.0
The owners who have participated in the business operations of the company will continue in Poyry 's employment after the transaction .,neutral,The owners who have participated in the business operations of the company will continue in Poyry 's employment after the transaction .,the owners who have participated in the business operations of the company will continue in poyry 's employment after the transaction .,0.0
The goal is to secure the company 's profitability and competitiveness .,neutral,The goal is to secure the company 's profitability and competitiveness .,the goal is to secure the company 's profitability and competitiveness .,0.0
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",negative,"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .","however , the company saw its net profit for the third quarter down to eur 1.4 million from eur 1.5 million for the corresponding period of 2009 .",-1.0
"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",positive,"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .","neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",1.0
Basware Einvoices Oy will be merged into the parent company during the present fiscal period .,neutral,Basware Einvoices Oy will be merged into the parent company during the present fiscal period .,basware einvoices oy will be merged into the parent company during the present fiscal period .,0.0
#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,positive,Fintech provider CAFN Cachet Financial Solutions Surging Forward today post earnings Up 13.26 JKHY FISV Momo,fintech provider cafn cachet financial solutions surging forward today post earnings up 13.26 jkhy fisv momo,1.0
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",neutral,"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .","before kemira 's installation nordalu was producing 3,500 tons of liquid and solid aluminum waste per year .",0.0
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,neutral,He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,he is a chartered accountant in british columbia and alberta as well as a certified public accountant in washington state .,0.0
` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC .,positive,Very recommendable ' is the Nokian Z G2 according to the ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC .,very recommendable ' is the nokian z g2 according to the adac judgement ' in the latest summer tyre test of the german automobile association adac .,1.0
- The Group -Â¦ s result before taxes was a loss of EUR 0.6 ( +0.6 ) million .,neutral,- The Group - s result before taxes was a loss of EUR 0.6 0.6 million .,- the group - s result before taxes was a loss of eur 0.6 0.6 million .,0.0
- Cash flow from operating activities before investments was EUR 0.8 -1.2 million .,neutral,- Cash flow from operating activities before investments was EUR 0.8 -1.2 million .,- cash flow from operating activities before investments was eur 0.8 -1.2 million .,0.0
Viking Line has canceled some services .,negative,Viking Line has canceled some services .,viking line has canceled some services .,-1.0
Exel is headquartered in Mantyharju in Finland .,neutral,Exel is headquartered in Mantyharju in Finland .,exel is headquartered in mantyharju in finland .,0.0
Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,negative,Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,stora chief executive jouko karvinen has described the russian tariff hikes as a threat to the future of the forest products industry in finland .,-1.0
"After Barclays and Bank of America, Citigroup has blockchain in sight",positive,"After Barclays and Bank of America, Citigroup has blockchain in sight","after barclays and bank of america, citigroup has blockchain in sight",1.0
"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",positive,"Google, Inc. completes acquisition of ICOA, Inc. ICOA GOOG","google, inc. completes acquisition of icoa, inc. icoa goog",1.0
"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",positive,"TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather.","tsla looking good..i'd love to see a basing action here, letting the rsi take a breather.",1.0
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",neutral,"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .","finnish plumbing and heating systems supplier uponor 's net sales from continuing operations decreased by 9.4 in 2008 to eur 949.2 mn from eur 1,047.4 mn in 2007 .",0.0
"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka , Wysockiego and Zgody .",positive,"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby Jaroszowka , Wysockiego and Zgody .","this location makes the mall a convenient place to shop for consumers from three large residential areas nearby jaroszowka , wysockiego and zgody .",1.0
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,negative,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,finnish insurance company fennia and kesko group are ending their loyal customer cooperation .,-1.0
"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",neutral,"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .","the casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",0.0
"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .",positive,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .","finland-based elcoteq se , a privately held provider of electronics manufacturing services to communications companies , said thursday it signed a long-term manufacturing supply deal with communications equipment company andrew corp. .",1.0
"In Q1 of 2009 , Bank of +Ã land 's net interest income weakened by 10 % to EUR 9.1 mn .",neutral,"In Q1 of 2009 , Bank of land 's net interest income weakened by 10 to EUR 9.1 mn .","in q1 of 2009 , bank of land 's net interest income weakened by 10 to eur 9.1 mn .",0.0
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,neutral,RBS Pays 1.7 Billion to Scrap U.K. Treasury's Dividend Rights,rbs pays 1.7 billion to scrap u.k. treasury's dividend rights,0.0
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive,Increased trust of our clients in YIT can be seen as apartment sales accelerated .,increased trust of our clients in yit can be seen as apartment sales accelerated .,1.0
Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore .,neutral,Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore .,talvivaara mining company plc talvivaara mining company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore .,0.0
Operating profit for 2009 lower than outlook published earlier .,neutral,Operating profit for 2009 lower than outlook published earlier .,operating profit for 2009 lower than outlook published earlier .,0.0
Less than ten people will face pension agreements .,neutral,Less than ten people will face pension agreements .,less than ten people will face pension agreements .,0.0
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .","the company 's consolidated operating profit amounted to eur 15.86 mn , up from eur 4.14 mn year-on-year .",1.0
AstraZeneca to Buy ZS Pharma for $2.7 Billion,positive,AstraZeneca to Buy ZS Pharma for 2.7 Billion,astrazeneca to buy zs pharma for 2.7 billion,1.0
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,negative,Finnish waste management and cleaning group Lassila Tikanoja Oyj L T net profit went down to 32.2 mln euro 47.7 mln for 2007 from 35.3 mln euro 52.3 mln for 2006 .,finnish waste management and cleaning group lassila tikanoja oyj l t net profit went down to 32.2 mln euro 47.7 mln for 2007 from 35.3 mln euro 52.3 mln for 2006 .,-1.0
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,neutral,The operating margin of Aker Yards Cruise Ferries division went down from 8.3 to 6.4 in the first quarter of 2007 .,the operating margin of aker yards cruise ferries division went down from 8.3 to 6.4 in the first quarter of 2007 .,0.0
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",negative,"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .","helsinki thomson financial - shares in cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in april-june profits , which overshadowed the large number of new orders received during the three months .",-1.0
The program 's target is structural cost reductions of about EUR 30mn in 2009 .,positive,The program 's target is structural cost reductions of about EUR 30mn in 2009 .,the program 's target is structural cost reductions of about eur 30mn in 2009 .,1.0
Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,neutral,Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,our tools are specifically designed with the needs of both the business users and ict experts in mind .,0.0
"Ahlstrom Corporation Seppo Parvi , CFO Distribution : Main media www.ahlstrom.com Ahlstrom in brief Ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers .",neutral,"Ahlstrom Corporation Seppo Parvi , CFO Distribution Main media Ahlstrom in brief Ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers .","ahlstrom corporation seppo parvi , cfo distribution main media ahlstrom in brief ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers .",0.0
"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .",neutral,"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 of Kotikokki net .","prior to the transaction , whose financial terms have not been disclosed , alma media owned 40 of kotikokki net .",0.0
$CTRP not a bad long chart now that it's through sma100 resistance.,positive,CTRP not a bad long chart now that it's through sma100 resistance.,ctrp not a bad long chart now that it's through sma100 resistance.,1.0
A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,neutral,A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,a merger between upm and finnish-swedish stora enso is not likely either .,0.0
$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,positive,HYG Potential continuation Uptrend on a 60'-15'-4' charts,hyg potential continuation uptrend on a 60'-15'-4' charts,1.0
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,positive,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,peroni and grolsch put up for sale as ab inbev plans acquisition of sabmiller,1.0
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","operating profit for the nine-month period increased from eur13 .6 m , while net sales increased from eur394 .7 m , as compared to the corresponding period in 2005 .",1.0
The beers differ slightly from mainstream beers .,neutral,The beers differ slightly from mainstream beers .,the beers differ slightly from mainstream beers .,0.0
Financial details were n't disclosed .,neutral,Financial details were n't disclosed .,financial details were n't disclosed .,0.0
"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",positive,"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .","separately , yit corporation and austrian firm e ag last week signed an agreement on the sale of e 's building system service business in germany , austria , poland , the czech republic , hungary and romania for eur 55 mln .",1.0
Finnish aluminium products manufacturer Nordic Aluminium Plc ( OMX Helsinki : NOA1V ) reported on Monday ( 18 August ) an operating profit of EUR7 .9 m on net sales of EUR55 .2 m for the period January-June 2008 .,neutral,Finnish aluminium products manufacturer Nordic Aluminium Plc OMX Helsinki NOA1V reported on Monday 18 August an operating profit of EUR7 .9 m on net sales of EUR55 .2 m for the period January-June 2008 .,finnish aluminium products manufacturer nordic aluminium plc omx helsinki noa1v reported on monday 18 august an operating profit of eur7 .9 m on net sales of eur55 .2 m for the period january-june 2008 .,0.0
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",neutral,"Temporary lay-offs , affecting the entire workforce , will also be implemented .","temporary lay-offs , affecting the entire workforce , will also be implemented .",0.0
"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million .",positive,"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated 1 million .","southfield , mich. -- central corporate credit union will again distribute patronage dividends to members by waiving all service fees incurred during the months of july and november 2008 , to the tune of an estimated 1 million .",1.0
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive,Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,1.0
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,neutral,Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,choose from a giant countdown with red head or rainbow trout -- or the giant shad rap in perch color .,0.0
"Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .",positive,"Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .","russian export duties will activate harvesting in finland , and sales in russia will increase also .",1.0
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",negative,"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro 9.8 mln for the same period of 2006 .","finnish electronics manufacturing services ems company elcoteq se posted a net loss of 66.4 mln euro 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro 9.8 mln for the same period of 2006 .",-1.0
"On preliminary estimate , the hotel will operate under the brand Novotel .",neutral,"On preliminary estimate , the hotel will operate under the brand Novotel .","on preliminary estimate , the hotel will operate under the brand novotel .",0.0
credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .,positive,credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp HEL GLA1V said today it concluded a EUR74m revolving credit facility agreement with its core banks .,credit 20 november 2009 - finnish glass technology company glaston oyj abp hel gla1v said today it concluded a eur74m revolving credit facility agreement with its core banks .,1.0
End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,positive,End Of Day Scan Bullish MA Crossovers BBVA PDS NTLS NGL SBRCY FGL MTNOY TTT,end of day scan bullish ma crossovers bbva pds ntls ngl sbrcy fgl mtnoy ttt,1.0
"TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards '' .",neutral,"TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 , which the company described as high by international standards '' .","tvo 's two-unit 1,740 mw olkiluoto plant generated 14.2 twh with an operating ratio across both reactors of 93.5 , which the company described as high by international standards '' .",0.0
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .",positive,"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .","turun kaupunkin , finland based company has awarded contract to lemminkainen talotekniikka oy for electrical installation work .",1.0
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,neutral,Finnair 's total traffic decreased by 8.7 in terms of revenue passenger kilometres .,finnair 's total traffic decreased by 8.7 in terms of revenue passenger kilometres .,0.0
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,negative,Consolidated pretax profit decreased by 69.2 to EUR 41.0 mn from EUR 133.1 mn in 2007 .,consolidated pretax profit decreased by 69.2 to eur 41.0 mn from eur 133.1 mn in 2007 .,-1.0
$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,positive,GILD 91 now support. IBB BIB,gild 91 now support. ibb bib,1.0
He wore a black beanie-type cap and a black jacket .,neutral,He wore a black beanie-type cap and a black jacket .,he wore a black beanie-type cap and a black jacket .,0.0
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,neutral,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,finnish developer and manufacturer of mobile phone chargers salcomp plc omx helsinki sal1v on wednesday 19 november lowered its full-year net sales estimate .,0.0
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",positive,"Basware Corporation stock exchange release August 31 , 2010 at 16 25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .","basware corporation stock exchange release august 31 , 2010 at 16 25 basware signed a large deal with an international industrial group basware will deliver invoice automation solution and connectivity services to an international industrial group .",1.0
Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,neutral,Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,0.0
Cash Flow from Operations for the most recent quarter also reached a eight year low .,negative,Cash Flow from Operations for the most recent quarter also reached a eight year low .,cash flow from operations for the most recent quarter also reached a eight year low .,-1.0
"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .",positive,"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .","mn , and pretax profit to eur 46.4 mn from eur 35.8 mn in the third quarter of 2006 .",1.0
- Tikkurila inspires you to color your life .,neutral,- Tikkurila inspires you to color your life .,- tikkurila inspires you to color your life .,0.0
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,positive,isrg trading at all-time high after strong earnings report with 4 days of short interest.,isrg trading at all-time high after strong earnings report with 4 days of short interest.,1.0
"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",neutral,"In October , UPM reported a third-quarter net loss of euro86 million 110 million compared with a net profit of euro120 million in 2007 .","in october , upm reported a third-quarter net loss of euro86 million 110 million compared with a net profit of euro120 million in 2007 .",0.0
Tesco shares jump 6% after Christmas sales beat expectations,positive,Tesco shares jump 6 after Christmas sales beat expectations,tesco shares jump 6 after christmas sales beat expectations,1.0
The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,neutral,The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,the potential acquirer is cencorp corporation which is a related entity to sav owing to each of sav and cencorp being a subsidiary of the finnish savcor group oy .,0.0
"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",neutral,"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .","yit 's baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",0.0
Net loss in the same period in 2009 was euro18 .6 million .,neutral,Net loss in the same period in 2009 was euro18 .6 million .,net loss in the same period in 2009 was euro18 .6 million .,0.0
"Also , CBA is to issue a benchmark , 10 year fixed rate deal in Euros .",neutral,"Also , CBA is to issue a benchmark , 10 year fixed rate deal in Euros .","also , cba is to issue a benchmark , 10 year fixed rate deal in euros .",0.0
Aspo 's Group structure and business operations are developed persistently without any predefined schedules .,neutral,Aspo 's Group structure and business operations are developed persistently without any predefined schedules .,aspo 's group structure and business operations are developed persistently without any predefined schedules .,0.0
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,neutral,Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,loss for the period totalled eur 15.6 mn compared to a profit of eur 6.3 mn in 2008 .,0.0
Shell to buy BG Group in $69.7 billion takeover,positive,Shell to buy BG Group in 69.7 billion takeover,shell to buy bg group in 69.7 billion takeover,1.0
$BBRY hearing rumours of a major joint venture announcement.,positive,BBRY hearing rumours of a major joint venture announcement.,bbry hearing rumours of a major joint venture announcement.,1.0
Philips was not available to comment on the report .,neutral,Philips was not available to comment on the report .,philips was not available to comment on the report .,0.0
Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each .,positive,Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each .,sony ericsson and nokia dominated the list of best-selling handsets with five models each .,1.0
"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News .",positive,"This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News .","this is a repeat order to follow successfully installed 159 elevators in the same delhi metro system , ' kone spokeswoman told thomson financial news .",1.0
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .","operating profit of kauppalehti group rose to eur 1.5 mn from eur 1.3 mn , and that of marketplaces to eur 1.3 mn from eur 1.0 mn in the third quarter of 2006 .",1.0
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",neutral,"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .","the works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",0.0
"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .",positive,"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .","profit after taxes was eur 0.1 mn , compared to eur -0.4 mn the previous year .",1.0
"Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China .",neutral,"Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China .","currently the terminator lures are produced in a subcontract facility in mexico but the manufacturing will be transferred to rapala 's factory in shenzhen , china .",0.0
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",neutral,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .","changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant , according to the company .",0.0
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",negative,"ADP News - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj HEL TLT1V said today its net profit decreased to EUR 5.5 million USD 7.2 m for 2008 from EUR 9.4 million for 200","adp news - feb 4 , 2009 - finnish broadband data communication systems and solutions company teleste oyj hel tlt1v said today its net profit decreased to eur 5.5 million usd 7.2 m for 2008 from eur 9.4 million for 200",-1.0
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,"HELSINKI AFX - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","helsinki afx - shares closed higher , led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets , and by nokian tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",1.0
Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 1.1 mn in the second quarter of 2007 .,neutral,Finnish navigation device manufacturer Benefon that is changing its name to GeoSentric reports net sales of about EUR 1.1 mn in the second quarter of 2007 .,finnish navigation device manufacturer benefon that is changing its name to geosentric reports net sales of about eur 1.1 mn in the second quarter of 2007 .,0.0
A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent .,neutral,A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent .,a. le coq had a market share of 41.3 percent and rival beverage group saku 32.1 percent .,0.0
